weight_alpha,ai_noise_sd,misclass_rate,utility_noise_sd,seed,triple_welfare_coef,triple_welfare_se,triple_welfare_p,triple_match_coef,ai_central_hard_welfare,n_jobs
1.0,0.03,0.7,0.15,500,-12.3588,10.3464,0.2323,-0.0487,13.8,2464
1.0,0.1,0.4,0.04,500,4.3118,3.5811,0.2286,-0.0195,1.58,2464
1.0,0.1,0.4,0.08,500,10.817,5.8753,0.0656,0.0097,6.92,2464
1.0,0.1,0.4,0.15,500,17.569,10.2153,0.0855,0.039,19.56,2464
1.0,0.1,0.7,0.04,500,2.8856,3.6528,0.4296,-0.0065,3.88,2464
1.0,0.1,0.7,0.08,500,-0.9539,5.3289,0.8579,-0.0519,5.87,2464
1.0,0.1,0.7,0.15,500,-8.2243,10.1773,0.419,-0.0455,16.37,2464
1.0,0.2,0.4,0.04,500,4.7156,3.5566,0.1849,-0.026,2.35,2464
1.0,0.2,0.4,0.08,500,10.6308,5.9148,0.0723,-0.0325,6.48,2464
1.0,0.2,0.4,0.15,500,16.5171,10.0166,0.0992,-0.0065,19.38,2464
1.0,0.2,0.7,0.04,500,3.7568,3.5949,0.296,0.0097,3.87,2464
1.0,0.2,0.7,0.08,500,-2.2854,5.3746,0.6707,-0.0357,4.15,2464
1.0,0.2,0.7,0.15,500,-8.8527,9.9295,0.3726,-0.0162,14.63,2464
1.5,0.03,0.4,0.04,500,1.5191,3.0222,0.6152,0.0325,2.53,2464
1.5,0.03,0.4,0.08,500,7.1034,6.1596,0.2488,-0.0097,8.1,2464
1.5,0.03,0.4,0.15,500,13.8073,9.7658,0.1574,0.0292,24.47,2464
1.5,0.03,0.7,0.04,500,0.8834,2.8019,0.7525,-0.039,2.63,2464
1.5,0.03,0.7,0.08,500,7.9447,5.2962,0.1336,-0.0097,6.87,2464
1.5,0.03,0.7,0.15,500,12.6439,8.087,0.1179,0.0227,21.51,2464
1.5,0.1,0.4,0.04,500,1.0024,2.9849,0.737,0.0227,2.42,2464
1.5,0.1,0.4,0.08,500,5.3013,5.9489,0.3729,-0.013,7.16,2464
1.5,0.1,0.4,0.15,500,13.0927,9.3783,0.1627,0.0065,23.66,2464
1.5,0.1,0.7,0.04,500,0.5562,2.8218,0.8438,-0.039,2.64,2464
1.5,0.1,0.7,0.08,500,7.3095,4.9488,0.1397,-0.0487,6.09,2464
1.5,0.1,0.7,0.15,500,4.4006,7.9952,0.582,-0.0227,18.02,2464
1.5,0.2,0.4,0.04,500,1.5239,3.084,0.6212,0.0227,2.3,2464
1.5,0.2,0.4,0.08,500,6.1606,6.0044,0.3049,0.0162,7.15,2464
1.5,0.2,0.4,0.15,500,15.4645,9.1808,0.0921,0.0455,22.33,2464
1.5,0.2,0.7,0.04,500,-0.2337,2.6103,0.9287,-0.0519,1.97,2464
1.5,0.2,0.7,0.08,500,4.3063,4.8108,0.3707,-0.0292,3.28,2464
1.5,0.2,0.7,0.15,500,9.5668,8.2268,0.2449,0.0065,14.76,2464
2.0,0.03,0.4,0.04,500,2.2014,2.3155,0.3418,0.0032,1.75,2464
2.0,0.03,0.4,0.08,500,1.0001,4.8207,0.8356,0.0357,4.88,2464
2.0,0.03,0.4,0.15,500,4.1893,9.3783,0.6551,0.0487,16.54,2464
2.0,0.03,0.7,0.04,500,4.3369,2.4766,0.0799,0.0097,0.26,2464
2.0,0.03,0.7,0.08,500,6.4232,4.2937,0.1347,-0.0422,4.0,2464
2.0,0.03,0.7,0.15,500,-9.8411,9.0807,0.2785,-0.0617,13.92,2464
2.0,0.1,0.4,0.04,500,2.5654,2.1874,0.2409,0.0097,1.26,2464
2.0,0.1,0.4,0.08,500,1.2819,4.9752,0.7967,0.0325,4.52,2464
2.0,0.1,0.4,0.15,500,3.4328,8.8005,0.6965,0.0649,17.13,2464
2.0,0.1,0.7,0.04,500,3.6356,2.3871,0.1278,0.013,-0.0,2464
2.0,0.1,0.7,0.08,500,7.5862,4.2908,0.0771,-0.0065,3.61,2464
2.0,0.1,0.7,0.15,500,-8.7641,9.1559,0.3385,-0.0422,12.98,2464
2.0,0.2,0.4,0.04,500,1.4123,2.1105,0.5034,0.0162,1.04,2464
2.0,0.2,0.4,0.08,500,-3.1308,4.9297,0.5254,0.0455,4.03,2464
2.0,0.2,0.4,0.15,500,-6.8084,9.7966,0.4871,0.0487,13.51,2464
2.0,0.2,0.7,0.04,500,3.2808,2.4127,0.1739,0.0065,-0.12,2464
2.0,0.2,0.7,0.08,500,5.3745,4.2988,0.2112,-0.0422,3.15,2464
2.0,0.2,0.7,0.15,500,-9.0286,8.627,0.2953,-0.0162,11.11,2464
3.0,0.03,0.4,0.04,500,-0.349,1.5513,0.822,-0.0065,-0.35,2464
3.0,0.03,0.4,0.08,500,-1.2593,4.5151,0.7803,0.0032,2.78,2464
3.0,0.03,0.4,0.15,500,1.49,10.5624,0.8878,-0.0195,15.97,2464
3.0,0.03,0.7,0.04,500,-2.4554,1.8277,0.1791,-0.0032,-1.61,2464
3.0,0.03,0.7,0.08,500,-6.0425,4.2787,0.1579,-0.0942,1.86,2464
3.0,0.03,0.7,0.15,500,-9.0168,8.7075,0.3004,-0.1234,11.8,2464
3.0,0.1,0.4,0.04,500,-0.5082,1.5635,0.7452,0.0,-0.35,2464
3.0,0.1,0.4,0.08,500,-1.8349,4.6781,0.6949,-0.013,3.32,2464
3.0,0.1,0.4,0.15,500,-0.164,10.338,0.9873,-0.1169,11.9,2464
3.0,0.1,0.7,0.04,500,-1.0952,1.268,0.3877,-0.0195,-0.39,2464
3.0,0.1,0.7,0.08,500,-6.9024,3.9541,0.0809,-0.1429,0.35,2464
3.0,0.1,0.7,0.15,500,-8.6463,9.0853,0.3413,-0.1429,8.39,2464
3.0,0.2,0.4,0.04,500,-0.3439,1.4423,0.8116,-0.0162,-0.1,2464
3.0,0.2,0.4,0.08,500,-1.4301,4.5848,0.7551,-0.0487,3.22,2464
3.0,0.2,0.4,0.15,500,-2.0608,9.7799,0.8331,-0.1234,9.13,2464
3.0,0.2,0.7,0.04,500,-2.2449,1.2096,0.0635,0.0065,-0.39,2464
3.0,0.2,0.7,0.08,500,-6.1791,3.9145,0.1144,-0.1234,1.14,2464
3.0,0.2,0.7,0.15,500,-13.631,9.0021,0.13,-0.1039,9.43,2464
